food_name_in_french,sodium_chloride_in_g_for_100g,calcium_in_mg_for_100g,chloride_in_mg_for_100g,copper_in_mg_for_100g,iron_in_mg_for_100g,iodine_in_µg_for_100g,magnesium_in_mg_for_100g,manganese_in_mg_for_100g,phosphorus_in_mg_for_100g,potassium_in_mg_for_100g,selenium_in_µg_for_100g,sodium_in_mg_for_100g,zinc_in_mg_for_100g
"Mûre (de ronce), surgelée, crue",,29.0,,,,,22.0,,30.0,140.0,,1.0,
"Pomelo (dit Pamplemousse) jaune, pulpe, cru",0.0,12.0,,,,,9.0,,8.0,148.0,,0.0,
"Pomelo (dit Pamplemousse) rose, pulpe, cru",0.0,22.0,,,,,9.0,,18.0,135.0,,0.0,
"Poire Conférence, pulpe, crue",,,,,,,,,,99.0,,,
"Poire Williams, pulpe, crue",,,,,,,,,,120.0,,,
"Pomme Chantecler, pulpe, crue",,4.0,,,,,,,10.0,120.0,,,
"Pomme Gala, pulpe, crue",,,,,,,3.0,,,91.0,,,
"Pomme Pink lady, pulpe, crue",,,,,,,3.0,,,110.0,,,
"Pêche blanche, pulpe et peau, crue",,,,,,,,,18.0,180.0,,,
"Pêche blanche, pulpe, crue",,,,,,,,,18.0,170.0,,,
"Pêche jaune, pulpe, crue",,,,,,,,,17.0,190.0,,,
"Dourian, pulpe, cru",,6.0,,,,,30.0,,39.0,436.0,,2.0,
"Kumquat, sans pépin, cru",,,,,,,,,19.0,158.0,0.0,8.0,
"Longan, pulpe, cru",0.0,1.0,,,,,10.0,,21.0,266.0,,0.0,
"Pamplemousse chinois, pulpe, cru",,4.0,,,,,6.0,,17.0,216.0,,1.0,
"Pomme Golden, pulpe et peau, crue",,4.0,,,,,,,10.0,130.0,,,
"Raisin noir Muscat, cru",,13.0,,,,,,,20.0,210.0,,,
"Melon miel ou melon honeydew, pulpe, cru",,6.0,,,,0.0,,,,237.0,0.0,,
"Fruits rouges, crus (framboises, fraises, groseilles, cassis)",,40.0,,,1.0,,,,,225.0,,3.0,
Fruit cru (aliment moyen),,,,,,,,,,197.0,,,
Compote de pomme,,,,,,,,,6.0,104.0,,,
"Rhubarbe, tige, cuite, sucrée",,145.0,,,,,12.0,,8.0,96.0,,1.0,
"Compote, tout type de fruits",,18.0,,,,,,,13.0,150.0,,,
"Compote, tout type de fruits, allégée en sucres",,,,,,,,,11.0,140.0,,,
"Chayote ou christophine ou chouchou, crue",,17.0,,,,,12.0,,18.0,125.0,,2.0,
"Compote, tout type de fruits, allégée en sucres, rayon frais",,,,,,,,,,120.0,,,
"Compote de pomme, allégée en sucres",,,,,,,,,,120.0,,,
"Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée)",,4.0,,,,,4.0,,,130.0,,,
"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""",,,,,,,6.0,,11.0,140.0,,,
"Spécialité de fruits divers, sucrée (mélange pulpes et/ou purées de fruits, mais toujours avec autre ingrédient)",,5.0,,,,,,,12.0,120.0,,,
"Pomme, pulpe, rôtie/cuite au four",,,,,,,,,12.0,150.0,,,
"Pomme, pulpe, bouillie/cuite à l'eau",,5.0,,,,,3.0,,8.0,88.0,,1.0,
"Compote ou assimilé, tout type de fruits, teneur en sucre (allégée en sucres ou non, sans sucres ajoutés...) inconnue (aliment moyen)",,,,,,,,,10.0,132.0,,,
"Purée de pommes, type ""compote sans sucres ajoutés""",,,,,,,,,,110.0,,,
"Coulis de fruits rouges (framboises, fraises, groseilles, cassis)",,,,,,,,,,204.0,,,
"Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen)",,16.0,,,,10.0,,,10.0,130.0,10.0,12.0,
"Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen)",,,,,,,,,,,10.0,,
"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté",,13.0,,,,,4.0,,,75.0,,,
"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté",,11.0,,,,,,,,67.0,,,
"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté",,,,,,,,,,63.0,,,
"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté",,,,,,,,,,,,,
"Abricot au sirop léger, appertisé, égoutté",,18.0,,,,,,,11.0,140.0,,,
"Abricot au sirop léger, appertisé, non égoutté",,,,,,,,,,136.0,,,
"Abricot au sirop, appertisé, égoutté",,16.0,,,,,,,10.0,130.0,,12.0,
"Abricot au sirop, appertisé, non égoutté",,,,,,,,,,114.0,,12.0,
"Ananas au jus d'ananas, égoutté, appertisé",,11.0,18.0,,,,12.0,,,130.0,,,
"Ananas au jus d'ananas, appertisé, non égoutté",,,18.0,,,,,,,127.0,,,
"Ananas au sirop léger, appertisé, égoutté",,,,,,,11.0,,,95.0,,,
"Ananas au sirop léger, appertisé, non égoutté",,,,,,,,,,101.0,,,
"Pêche au sirop léger, appertisée, égouttée",,10.0,,,,,5.0,,11.0,100.0,,,
"Pêche au sirop léger, appertisée, non égouttée",,,,,,,,,,100.0,,,
"Poire au sirop léger, appertisée, égouttée",,,,,,,4.0,,,69.0,,,
"Poire au sirop léger, appertisée, non égouttée",,5.0,,,,,4.0,,7.0,66.0,,5.0,
"Abricot, dénoyauté, sec",,71.0,,,,,41.0,,79.0,1400.0,,,
"Datte, pulpe et peau, sèche",,,61.0,,,,,,62.0,696.0,,39.0,
"Figue, sèche",,167.0,,,,,,,,845.0,,,
"Pruneau, sec",,50.0,,,,,30.0,,66.0,610.0,,,
"Raisin, sec",,54.0,,,,,35.0,,82.0,960.0,,5.0,
"Mélange apéritif de fruits exotiques, sec",,43.0,,,,3.0,39.0,,67.0,530.0,,88.0,
"Banane, pulpe, sèche",,22.0,,,,3.0,108.0,,74.0,1490.0,,3.0,
"Pomme, sèche",,22.0,,,,,,,38.0,450.0,,87.0,
"Pêche, sèche",,25.0,,,,,80.0,,120.0,945.0,,79.0,
"Canneberge ou cranberry, séchée, sucrée",,8.0,,,,,,,,58.0,,,
"Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%)",,53.0,,,,,32.0,,59.0,980.0,,,
"Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique",,,,,,,,,,,,,
"Abricot pays, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,
"Ananas, pulpe, cru , prélevé à la Martinique",,,,,,,,,,,,,
"Caïmite, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,
"Cerise acérola, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,
"Chadèque, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,
"Chips d'abricot pays, pulpe, prélevé à la Martinique",,,,,,,,,,,,,
"Goyave, pulpe, purée, prélevée à la Martinique",,,,,,,,,,,,,
"Jus de carambole, prélevé à la Martinique, jus filtré",,,,,,,,,,,,,
"Jus de carambole, prélevée à la Martinique, jus non filtré",,,,,,,,,,,,,
"Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique",,,,,,,,,,,,,
"Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique",,,,,,,,,,,,,
"Jus de corossol, prélevé à la Martinique",,,,,,,,,,,,,
"Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus",,,,,,,,,,,,,
"Jus de grenade, prélevée à la Martinique",,,,,,,,,,,,,
"Jus de lime, pur jus, prélevé à la Martinique",,,,,,,,,,,,,
"Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique",,,,,,,,,,,,,
"Jus de mandarine commune, pur jus filtré, prélevée à la Martinique",,,,,,,,,,102.0,,,
"Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique",,,,,,,,,,199.0,,,
"Jus de moubin, pur jus, prélevé à la Martinique",,,,,,,,,,,,,
"Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique",,,,,,,,,,,,,
"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique",,,,,,,,,,,,,
"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique",,,,,,,,,,,,,
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique",,,,,,,,,,,,,
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique",,,,,,,,,,,,,
"Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique",,,,,,,,,,,,,
"Mango bassignac, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,
"Mango moussache, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,
"Mangue julie, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,
"Mangue verte, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,
"Melon, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,
"Orange (variété locale), pulpe, prélevée à la Martinique",,,,,,,,,,,,,
"Orange amère, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,
"Pastèque, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,
"Pomme cajou, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,
"Pomme cannelle,  pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,
"Pomme d'eau ou pomme malaca, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,
"Pomme liane, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,
"Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique",,,,,,,,,,,,,
"Prune de cythère, verte ou immature, fruit entier, crue, prélevée à la Martinique",,,,,,,,,,,,,
"Jacques, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,
"Mangue José, pulpe, crue, prélevée à La Réunion (Mangifera indica L.)",,14.0,,,,,14.0,,13.0,150.0,,,
"Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen)",,,,,,,15.0,,,130.0,,,
"Papaye Colombo (fruit mûr), pulpe sans pépin, crue, prélevée à La Réunion (Carica papaya L.)",,18.0,,,,,12.0,,11.0,240.0,,,
Farine de châtaigne,,,,,,,,,,,,,
Amande (avec peau),,260.0,,,,,270.0,,510.0,800.0,,,
Cacahuète ou Arachide,,57.0,,,,,190.0,,400.0,700.0,30.0,,3.0
"Cacahuète, grillée, salée",,,304.0,,,,169.0,,244.0,531.0,,531.0,
Noisette,,120.0,,,3.0,,160.0,,340.0,860.0,,,
"Noix, séchée, cerneaux",,75.0,,,,,140.0,,360.0,430.0,,,
"Noix de coco, amande mûre, fraîche",,14.0,,,,,32.0,,113.0,356.0,,20.0,
"Noix de coco, amande, sèche",,,,,,,90.0,,197.0,647.0,,,
Noix du Brésil,,150.0,,,,,367.0,2.0,658.0,591.0,103.0,3.0,
"Pistache, grillée, salée",,,728.0,,,,105.0,,437.0,655.0,,664.0,
"Sésame, graine",,962.0,,,,,324.0,,605.0,468.0,,,
"Tournesol, graine",,,,,,5.0,364.0,,477.0,578.0,,,
Crème de marrons,,,,,,,,,,,,,
"Noix de coco, amande immature, fraîche",,14.0,,,,,32.0,,113.0,356.0,,20.0,
"Crème de marrons vanillée, appertisée",,,,,,,,,,174.0,1.0,,
Mélange apéritif de graines salées et raisins secs,,72.0,285.0,,,,160.0,,340.0,700.0,,169.0,
"Noix de cajou, grillée, salée",,,364.0,2.0,,,223.0,,452.0,546.0,,455.0,
"Châtaigne, bouillie/cuite à l'eau",,46.0,,,,,54.0,,99.0,715.0,,27.0,
"Châtaigne, grillée",,29.0,,,,,33.0,,107.0,592.0,,2.0,
"Noix, fraîche",,94.0,,,,,120.0,,260.0,390.0,,,
"Châtaigne, crue",,27.0,,,,,,,,550.0,,,
Pignon de pin,,,61.0,,,,227.0,,527.0,662.0,,9.0,
Noix de pécan,,,,,,2.0,123.0,,277.0,409.0,,1.0,
Noix de macadamia,,85.0,,,,2.0,130.0,,188.0,368.0,,5.0,
"Cucurbitacées, graine",,46.0,,,,,592.0,,1230.0,809.0,,7.0,
"Luzerne, graine germée",,32.0,,,,,27.0,,70.0,79.0,,6.0,
"Luzerne, graine",,136.0,,,,,,,,,90.0,,
Noisette grillée,,123.0,,,,,173.0,,310.0,755.0,,,
"Lin, graine",,228.0,,,,,372.0,,595.0,641.0,28.0,,
"Sésame, graine décortiquée",,,,,,,348.0,,703.0,419.0,,29.0,
"Cacahuète, grillée à sec, salée",,,,,,,,,,,,700.0,
"Sésame, grillé, graine décortiquée",,131.0,,,,,346.0,,774.0,406.0,,39.0,
"Châtaigne ou Marron, appertisé",,,,,,,,,51.0,359.0,,,
"Amande, mondée, émondée ou blanchie",,236.0,,,,,268.0,,481.0,659.0,,19.0,
"Amande, grillée, salée",,268.0,,,,,279.0,,471.0,713.0,,498.0,
"Noix de macadamia, grillée, salée",,70.0,,,,,118.0,,198.0,363.0,,360.0,
"Pistache, grillée",,108.0,,,,,115.0,,478.0,1020.0,,6.0,
"Tournesol, graine, grillé, salé",,70.0,,,,,129.0,,1160.0,850.0,,655.0,
"Noix de pécan, salées",1.0,,,,,,,,,,,400.0,
"Chia, graine, séchée",,631.0,,,,,335.0,,860.0,407.0,,16.0,
Mélange apéritif de graines (non salées) et fruits séchés,,88.0,,,4.0,,120.0,,,712.0,,117.0,2.0
Mélange apéritif de graines (non salées) et raisins secs,,90.0,,1.0,,,160.0,2.0,320.0,750.0,,7.0,
"Noisette grillée, salée",,,,,,,,,,,,333.0,
"Lin, brun, graine",,210.0,,,,,300.0,2.0,560.0,750.0,,38.0,
"Cacahuète, grillée, sans sel ajouté",,58.0,,,,,178.0,,363.0,634.0,,8.0,
"Noix de cajou, grillée, non salée",,39.0,,,,,260.0,,510.0,610.0,,6.0,5.0
"Noix de cajou, grillée à sec, non salée",,38.0,,,,,280.0,,530.0,680.0,20.0,8.0,
"Pâte d'amande, préemballée",,91.0,,,,,74.0,,150.0,190.0,,7.0,
Beurre de cacahuète ou Pâte d'arachide,,43.0,,,,,174.0,,333.0,629.0,,388.0,
Tahin ou Purée de sésame,,284.0,,,,,95.0,,761.0,437.0,,75.0,
"Arachide, bouillie/cuite à l'eau, salée",,55.0,,,,,102.0,,198.0,180.0,,751.0,
"Soja, graine entière",,220.0,,,,,253.0,,586.0,1740.0,,3.0,
"Blé dur précuit, grains entiers, cuit, non salé",,21.0,,,,,28.0,,96.0,99.0,,,
"Nouilles asiatiques cuites, aromatisées",,,,,,,,,,,,470.0,
"Pâtes ou nouilles asiatiques au blé, cuites, nature, non salées",,11.0,113.0,,,,,,43.0,26.0,,,
"Riz complet, cuit, non salé",,13.0,,,,,49.0,,120.0,43.0,,,
"Riz blanc, cuit, non salé",,14.0,,,,,,,35.0,16.0,,,
"Riz blanc étuvé, cuit, non salé",,,,,,,10.0,,35.0,,,,
"Riz rouge, cuit, non salé",,,38.0,,,,,,156.0,,,,
"Riz sauvage, cuit, non salé",,3.0,,,,,32.0,,82.0,101.0,,3.0,
"Riz thaï, cuit, non salé",,,,,,,4.0,,24.0,12.0,,,
"Riz basmati, cuit, non salé",,11.0,,,,,,,32.0,18.0,,,
"Flocons d'avoine, bouillis/cuits à l'eau",,9.0,,,,,27.0,,77.0,70.0,,4.0,1.0
"Orge perlée, bouilli/cuite à l'eau, non salée",,11.0,,,,,22.0,,54.0,93.0,,3.0,
"Mil, cuit, non salé",,3.0,,,,,44.0,,100.0,62.0,,2.0,
"Quinoa, bouilli/cuit à l'eau, non salé",,23.0,,,,,71.0,,180.0,220.0,,6.0,
"Polenta ou semoule de maïs, cuite, non salée",,,,,,,4.0,,15.0,24.0,,,
"Graine de couscous (semoule de blé dur précuite), cuite, non salée",,15.0,,,,,19.0,,73.0,110.0,,,
"Boulgour de blé, cuit, non salé",,14.0,,,,,22.0,,66.0,95.0,,7.0,
"Pâtes sèches standard, cuites, non salées",,17.0,,,,,17.0,,59.0,34.0,,,
"Pâtes fraîches, aux oeufs, cuites, non salées",,,37.0,,,,,,88.0,61.0,,,
"Pâtes sèches, aux oeufs, cuites, non salées",,23.0,,,,,16.0,,68.0,25.0,,,
"Pâtes sèches, sans gluten, cuites, non salées",,,,,,,23.0,,62.0,32.0,,,
"Pâtes sèches, au blé complet, cuites, non salées",,22.0,,,,,36.0,,110.0,65.0,,,
"Pâtes, sans gluten, à base de riz et maïs, cuites à l'eau, non salées",,,,,,,,,27.0,15.0,,,
"Pâtes, sans gluten, à base de lentilles corail, cuites à l'eau, non salées",,29.0,,,,,59.0,,130.0,240.0,,,
"Vermicelle de riz, cuite, non salée",,,,,,,,,13.0,,,,
"Vermicelle de soja, cuite, non salée",,,39.0,,,,,,10.0,,,,
"Gnocchi à la semoule, cuit",,,,,,,,,,,,,
"Gnocchi à la pomme de terre, cuit",,,695.0,,,60.0,,,39.0,184.0,5.0,402.0,
"Gnocchi, cuit (aliment moyen)",,,,,,,17.0,,,158.0,,395.0,
"Frik (blé dur immature concassé), cuit, non salé",,,50.0,,1.0,,,,55.0,,,2.0,
"Épeautre, cru",,27.0,,,,,136.0,,401.0,388.0,,8.0,
"Blé de Khorasan, cru",,22.0,,,,,130.0,,364.0,403.0,,5.0,
"Blé tendre entier ou froment, cru",,,,,,,,,,,,,
"Blé germé, cru",,28.0,,,,,82.0,,200.0,169.0,,16.0,
"Blé dur entier, cru",,,,,,,130.0,,390.0,408.0,,,
"Blé dur précuit, entier, cru",,55.0,,,0.0,0.0,50.0,,238.0,950.0,,4.0,0.0
"Riz blanc, cru",,33.0,,,,,,,118.0,121.0,6.0,,
"Riz blanc étuvé, cru",,101.0,,,,,31.0,,162.0,162.0,6.0,,
"Riz complet, cru",,,62.0,,,,118.0,,163.0,219.0,,,2.0
"Riz sauvage, cru",,,78.0,,,,,,317.0,298.0,,,
"Riz rouge, cru",,,61.0,,,,130.0,2.0,372.0,288.0,,11.0,
"Riz thaï ou basmati, cru",,,,,,,,,,,,,
"Riz thaï ou basmati, cuit, non salé",,10.0,,,,,,,29.0,11.0,,,
"Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru",,,,,,,,,,,,10.0,
"Maïs entier, cru",,40.0,50.0,,,,100.0,,260.0,320.0,,4.0,
"Avoine, crue",,54.0,70.0,,,,177.0,,523.0,429.0,9.0,2.0,
"Orge entière, crue",,33.0,110.0,,,,133.0,,264.0,452.0,,12.0,
"Orge perlée, crue",,29.0,,,,,79.0,,221.0,280.0,,9.0,
"Mil entier, cru",,,,,,5.0,107.0,,263.0,208.0,16.0,,
"Quinoa, cru",,47.0,,,,,197.0,,457.0,563.0,,5.0,
"Amarante, crue",,159.0,,,,,248.0,,557.0,508.0,,4.0,
"Sorgho entier, cru",,13.0,60.0,,,,165.0,,289.0,363.0,43.0,2.0,
"Sarrasin entier, cru",,,,,,,231.0,,362.0,460.0,,1.0,
"Seigle entier, cru",,,60.0,,,,104.0,,346.0,469.0,,,
"Semoule de blé dur, crue",,,,,,,,,102.0,152.0,1.0,,
"Semoule de blé dur, cuite, non salée",,13.0,,,1.0,,16.0,3.0,62.0,96.0,,,
"Mélange de céréales et légumineuses, cru",,,,,,,70.0,,,,,397.0,
"Polenta ou semoule de maïs, précuite, sèche",,,94.0,,,,35.0,,104.0,144.0,,,
"Graine de couscous (semoule de blé dur précuite), crue",,24.0,,,,,44.0,,170.0,166.0,,,
"Boulgour de blé, cru",,,,,,,140.0,,285.0,410.0,,17.0,
"Pâtes sèches standard, crues",,,,,,,,,165.0,219.0,,,
"Pâtes fraîches, aux oeufs, crues",,35.0,,,,,,,,,,156.0,
"Pâtes sèches, aux oeufs, crues",,35.0,,,,,58.0,,241.0,244.0,,34.0,
"Pâtes ou nouilles asiatiques au blé et aux oeufs, crues, nature",,,,,,,,,,,,397.0,
"Pâtes sèches, au blé complet, crues",,,64.0,,,10.0,,,160.0,378.0,,,
"Pâtes sèches, sans gluten, crues",,,,,,,,,,,,,
"Vermicelle de riz, sèche",,,48.0,,,,13.0,,60.0,,,12.0,
"Vermicelle de soja, sèche",,,47.0,,,,,,40.0,,,,
"Gnocchi à la pomme de terre, cru",,,,,,,,,,,,468.0,
"Gnocchi à la semoule, cru",,,,,,,,,,,,870.0,
"Frik (blé dur immature concassé), cru",,,89.0,,,,114.0,,321.0,512.0,,,
Pain (aliment moyen),,,891.0,,,,,,108.0,165.0,,512.0,
"Pain, baguette, courante",,22.0,938.0,,,,23.0,,110.0,180.0,,518.0,
"Pain, baguette ou boule, au levain",,,,,,,,,,124.0,,,
"Pain, baguette, de tradition française",,20.0,924.0,,,,24.0,,96.0,150.0,,530.0,
"Pain, baguette ou boule, bis (à la farine T80 ou T110) ",,,,,,,33.0,1.0,140.0,178.0,,,
"Pain courant, 400g ou boule",,37.0,,,1.0,,,,124.0,128.0,,499.0,
"Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110)",,,,,,,,,145.0,190.0,,538.0,
"Pain, baguette ou boule, de campagne",,23.0,905.0,,,,33.0,,120.0,190.0,,539.0,
Pain complet ou intégral (à la farine T150),,39.0,780.0,,,,51.0,,180.0,240.0,,448.0,
"Pain de mie, complet",,141.0,787.0,,,,,,160.0,226.0,,471.0,
"Pain de mie, au son",,,,,,,,,,,,423.0,
"Pain de mie, multicéréale",,,728.0,,,6.0,,,140.0,157.0,8.0,515.0,
Pain au son,,,,,,,,,198.0,253.0,,410.0,
"Pain de seigle, et froment",,33.0,923.0,,,,27.0,,110.0,170.0,,538.0,
"Pain, sans gluten",,60.0,778.0,,,,16.0,,95.0,75.0,,624.0,
"Pain, baguette, sans sel",,42.0,,,,6.0,,,,129.0,,,
Pain panini,,22.0,,,,,29.0,,118.0,148.0,,619.0,
Pain pita,,,982.0,,1.0,,,,84.0,134.0,,543.0,
"Pain de mie, courant",,88.0,760.0,,,,17.0,,75.0,120.0,,459.0,
"Pain de mie, sans croûte, préemballé",,87.0,712.0,,,,20.0,,86.0,110.0,,425.0,
"Pain de mie brioché, préemballé",,65.0,730.0,,,,17.0,,95.0,110.0,,447.0,
"Pain, baguette ou boule, aux céréales et graines, artisanal",,40.0,791.0,,,,53.0,,150.0,230.0,,450.0,
"Muffin anglais, complet, petit pain spécial, préemballé",,,,,,,,,,,,393.0,
"Muffin anglais, petit pain spécial, préemballé",,,,,,,,,,,,418.0,
Bagel,,,,,,,,,111.0,122.0,,410.0,
"Pain pour hamburger ou hot dog (bun), préemballé",,89.0,757.0,,,,27.0,,110.0,140.0,,453.0,
Pain blanc maison (avec farine pour machine à pain),,21.0,880.0,,,,20.0,,94.0,130.0,,578.0,
Pain de campagne maison (avec farine pour machine à pain),,20.0,899.0,,,22.0,34.0,,130.0,210.0,,537.0,
"Pain pour hamburger ou hot dog (bun), complet, préemballé",,,,,,,,,,,,413.0,
"Bretzel, pain frais",,53.0,1830.0,,,,25.0,,170.0,170.0,,1340.0,
"Tortilla souple (à garnir), à base de maïs",,23.0,303.0,,,,20.0,,280.0,120.0,,430.0,
"Tortilla souple (à garnir), à base de blé",,45.0,219.0,,,,19.0,,360.0,150.0,,650.0,
Blini,,,762.0,,,30.0,,,116.0,137.0,,521.0,
"Pain grillé, domestique",,20.0,972.0,,,,25.0,,85.0,140.0,,602.0,
Biscotte classique,,29.0,886.0,,,,24.0,,100.0,160.0,,509.0,
Biscotte briochée,,,,,,,,,,,,394.0,
Biscotte sans adjonction de sel,,,,,,,,,121.0,161.0,,,7.0
Biscotte multicéréale,,,947.0,,,,57.0,,233.0,233.0,,597.0,
Biscotte complète ou riche en fibres,,,813.0,,,,115.0,2.0,260.0,350.0,,492.0,
Crackers de table au froment,,,,,,,,,,,,600.0,
Galette de riz soufflé complet,,12.0,159.0,,,,160.0,,410.0,300.0,,,
Galette multicéréales soufflée,,,,,,,,,,,,,
Galette de maïs soufflé,,,,,,,,,,,,,
"Pain grillé, tranches, au froment",,,,,,4.0,,,135.0,175.0,2.0,616.0,
"Pain grillé brioché, tranché, préemballé",,,,,,,,,120.0,,,409.0,
Pain grillé suédois au froment,,,765.0,,1.0,,,,120.0,163.0,,422.0,
Pain grillé suédois aux graines de lin,,,,,,,,,,,,613.0,
"Tartine craquante, extrudée et grillée",,,871.0,,1.0,,,1.0,131.0,254.0,,576.0,
Pain grillé suédois au blé complet,,,1020.0,,,,,,213.0,284.0,,610.0,
Pain grillé suédois aux fruits,,,,,,,,,,,,340.0,
"Pain grillé, tranches, multicéréale",,30.0,,,9.0,4.0,66.0,,194.0,300.0,,437.0,
Croûton à tartiner,,,,,,,,,,,,500.0,
"Croûtons nature, préemballés",,27.0,1080.0,,,,24.0,,110.0,190.0,,680.0,
Chapelure,,,1250.0,,,,,,196.0,270.0,,728.0,
Gressin,,48.0,1210.0,,,20.0,,,188.0,213.0,,715.0,
"Croûton à l'ail aux fines herbes ou aux oignons, préemballé",,31.0,1460.0,,,,27.0,,110.0,200.0,,976.0,
"Pop-corn ou Maïs éclaté, à l'huile, salé",,,,,,0.0,,,180.0,182.0,5.0,478.0,
"Pop-corn ou Maïs éclaté, à l'air, non salé",,7.0,,,,,144.0,,358.0,329.0,,8.0,
"Pop-corn ou Maïs éclaté, au caramel",,,,,,,,,,,,56.0,
Chips de crevette,,46.0,1150.0,,,194.0,,,42.0,,,610.0,
Chips de maïs ou tortilla chips,,,,,,12.0,,,204.0,228.0,,565.0,
"Biscuit apéritif soufflé, à base de pomme de terre",,31.0,,,,0.0,36.0,,129.0,630.0,,1250.0,
"Biscuit apéritif, mini bretzel ou sticks",,21.0,1420.0,,,,28.0,,120.0,160.0,,1770.0,
"Biscuit apéritif soufflé, à base de pomme de terre et de soja",,,,,,,,,,,,833.0,
Biscuit apéritif (aliment moyen),,,931.0,,,,,,101.0,247.0,,999.0,
"Biscuit apéritif soufflé, à base de maïs, sans cacahuète",,,,,,11.0,,,,371.0,7.0,990.0,
"Biscuit apéritif, crackers, garni ou fourré, au fromage",,236.0,,,,8.0,,,,148.0,,755.0,
"Biscuit apéritif, crackers, nature",,28.0,911.0,,,8.0,,,89.0,152.0,,919.0,
"Biscuit apéritif, crackers, nature, allégé en matière grasse",3.0,72.0,,,,8.0,29.0,,108.0,152.0,,1200.0,
"Biscuit apéritif soufflé, à base de maïs, à la cacahuète",,,,,,,,,,,,749.0,
"Biscuit apéritif à base de pomme de terre, type tuile salée",,,607.0,,,,,,,,,651.0,
"Cacahuètes (arachide) enrobées d'un biscuit, pour apéritif",,,,,,,,,,,,1120.0,
Biscuit apéritif feuilleté,,,,,,,,,,,,1010.0,
"Crêpe dentelle (pour apéritif) au fromage, préemballée",,,,,,,,,,,,692.0,
Fécule de pomme de terre,,,,,,,6.0,,,,,,
Flocon d'avoine,,,,,,,148.0,,422.0,377.0,,,
Farine de blé tendre ou froment T110,,27.0,,,,,73.0,,220.0,280.0,,,
Farine de blé tendre ou froment T150,,,,,,,,,323.0,407.0,,14.0,
Farine de blé tendre ou froment T65,,,,,,,,,124.0,176.0,,12.0,
Farine de blé tendre ou froment T55 (pour pains),,23.0,,,1.0,,27.0,,110.0,180.0,,,
Farine de blé tendre ou froment avec levure incorporée,,,,,,,,,,,,,
Farine de blé tendre ou froment T45 (pour pâtisserie),,,61.0,,,,25.0,,117.0,155.0,,39.0,
Farine de blé tendre ou froment T80,,,,,,,,,153.0,206.0,,,
Farine d'épeautre (grand épeautre),,31.0,52.0,,3.0,,92.0,,340.0,360.0,,,
Amidon de maïs ou fécule de maïs,,6.0,,,,,,,56.0,4.0,,,
Farine de riz,,,,,,,110.0,,300.0,270.0,,,
Farine de seigle T170,,37.0,,,,,160.0,,499.0,717.0,,2.0,
Farine de seigle T85,,,,,1.0,,29.0,,125.0,214.0,,,
Farine de seigle T130,,,,,,,,,208.0,344.0,,,
