food_name_in_french,retinol_in_µg_for_100g,beta_carotene_in_µg_for_100g,vitamin_d_in_µg_for_100g,vitamin_e_in_mg_for_100g,vitamin_k1_in_µg_for_100g,vitamin_k2_in_µg_for_100g,vitamin_c_in_mg_for_100g,vitamin_b1_thiamine_in_mg_for_100g,vitamin_b2_riboflavin_in_mg_for_100g,vitamin_b3_niacin_in_mg_for_100g,vitamin_b5_pantothenic_acid_in_mg_for_100g,vitamin_b6_in_mg_for_100g,vitamin_b9_total_folate_in_µg_for_100g,vitamin_b12_in_µg_for_100g
"Fève, fraîche, surgelée",,,,,,,,,,,,,,
"Haricot flageolet, surgelé",,,,,,,,,,,,,,
"Fève, pelée, surgelée, crue",,,,,,,,,,,,,,
"Haricot blanc, sec",0.0,0.0,0.0,,,,,,,,,,307.0,0.0
"Lentille, sèche",0.0,23.0,0.0,,5.0,,,,,,,,257.0,0.0
"Pois cassé, sec",0.0,89.0,0.0,,,,,,,,,,154.0,0.0
"Pois chiche, sec",0.0,40.0,0.0,,9.0,,,,,,,,369.0,0.0
"Fève, sèche",0.0,32.0,0.0,,9.0,,,,,,,,423.0,0.0
"Haricot rouge, sec",0.0,0.0,0.0,,,,,,,,,,394.0,0.0
"Haricot mungo, sec",0.0,,0.0,,170.0,,,,,,,,421.0,0.0
"Lentille corail, sèche",0.0,,,,,,,,,,,,124.0,0.0
"Haricot flageolet, vert, sec",,27.0,,,,,,,,,,,121.0,
"Lentille verte, sèche",,,,,,,,,,,,,117.0,
"Lentille blonde, sèche",,,,,,,,,,,,,103.0,
"Abricot, dénoyauté, cru",0.0,2350.0,0.0,,,,,,,,,,,0.0
"Ananas, pulpe, cru",0.0,,0.0,,,,,,,,,,,0.0
"Banane, pulpe, crue",0.0,,0.0,,,,,,,,,,19.0,0.0
"Cassis, cru",0.0,100.0,0.0,,,,181.0,,,,,,,0.0
"Cerise, dénoyautée, crue",0.0,242.0,0.0,,,,,,,,,,,0.0
"Citron, pulpe, cru",0.0,,0.0,,,,45.0,,,,,,,0.0
"Coing, cru",0.0,,0.0,,,,15.0,,,,,,3.0,0.0
"Figue, crue",0.0,,0.0,,,,,,,,,,,0.0
"Fraise, crue",0.0,,0.0,,,,54.0,,,,,,,0.0
"Framboise, crue",0.0,100.0,0.0,,,,,,,,,,,0.0
"Fruit de la passion ou maracudja, pulpe et pépins, cru",0.0,1010.0,0.0,,,,,,,,,,101.0,0.0
"Grenade, pulpe et pépins, crue",0.0,,0.0,,,,,,,,,,,0.0
"Groseille, crue",0.0,,0.0,,,,,,,,,,,0.0
"Groseille à maquereau, crue",0.0,,0.0,,,,29.0,,,,,,,0.0
"Kiwi, pulpe et graines, cru",0.0,38.0,0.0,,,,,,,,,,,0.0
"Litchi, pulpe, cru",0.0,,0.0,,,,,,,,,,,0.0
"Clémentine ou Mandarine, pulpe, crue",0.0,147.0,0.0,,,,,,,,,,,0.0
"Mangue, pulpe, crue",0.0,864.0,0.0,,,,25.0,,,,,,,0.0
"Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru",0.0,2500.0,0.0,,,,,,,,,,,0.0
"Mirabelle, crue",,346.0,,,,,,,,,,,,
"Myrtille, crue",0.0,32.0,0.0,,,,,,,,,,6.0,0.0
"Mûre (de ronce), crue",0.0,156.0,0.0,,,,,,,,,,17.0,0.0
"Nectarine ou brugnon, pulpe et peau, crue",0.0,150.0,0.0,,,,,,,,,,5.0,0.0
"Orange, pulpe, crue",0.0,,0.0,,,,,,,,,,,0.0
"Papaye, pulpe, crue",0.0,351.0,0.0,,,,,,,,,,,0.0
"Pastèque, pulpe, crue",0.0,1220.0,0.0,,,,,,,,,,,0.0
"Poire, pulpe et peau, crue",0.0,14.0,0.0,,,,,,,,,,,0.0
"Pomme, pulpe et peau, crue",0.0,,0.0,,,,,,,,,,6.0,0.0
"Pomelo (dit Pamplemousse), pulpe, cru",0.0,539.0,0.0,,,,,,,,,,,0.0
"Prune Reine-Claude, crue",0.0,430.0,0.0,,,,,,,,,,,0.0
"Pêche, pulpe et peau, crue",0.0,162.0,0.0,,,,,,,,,,,0.0
"Raisin blanc, à gros grain (type Italia ou Dattier), cru",,,,,,,,,,,,,,0.0
"Raisin noir, cru",0.0,24.0,0.0,,,,,,,,,,5.0,0.0
"Rhubarbe, tige, crue",0.0,,0.0,,,,,,,,,,,0.0
"Pomme, pulpe, crue",0.0,17.0,0.0,,,,4.0,,,,,,0.0,0.0
"Carambole, pulpe, crue",0.0,25.0,0.0,,0.0,,,,,,,,12.0,0.0
"Anone ou chérimole, pulpe, crue",0.0,2.0,0.0,,,,,,,,,,23.0,0.0
"Feijoa, pulpe, crue",0.0,2.0,,,,,,,,,,,23.0,0.0
"Figue de Barbarie, pulpe et graines, crue",0.0,60.0,0.0,,,,,,,,,,8.0,0.0
"Kaki, pulpe, cru",0.0,180.0,,,,,,,,,,,,0.0
"Citron vert ou Lime, pulpe, cru",0.0,,0.0,,,,,,,,,,,0.0
"Mûre noire (du mûrier), crue",0.0,9.0,0.0,,,,,,,,,,6.0,0.0
"Ramboutan, pulpe, crue",0.0,2.0,,,,,,,,,,,8.0,0.0
"Tamarin, fruit mûr, pulpe, cru",0.0,18.0,0.0,,,,,,,,,,14.0,0.0
"Goyave, pulpe, crue",0.0,374.0,0.0,,,,228.0,,,,,,49.0,0.0
"Pomme Canada, pulpe, crue",0.0,,0.0,,,,4.0,,,,,,1.0,0.0
"Pomme Golden, pulpe, crue",,,,,,,,,,,,,,
"Prune, crue",0.0,190.0,0.0,,,,,,,,,,4.0,0.0
"Raisin Chasselas, cru",,,,,,,,,,,,,,
"Poire, pulpe, crue",0.0,,0.0,,,,6.0,,,,,,2.0,0.0
"Griotte, crue",0.0,770.0,0.0,,,,10.0,,,,,,8.0,0.0
"Raisin, cru",0.0,39.0,0.0,,,,,,,,,,2.0,0.0
"Canneberge ou cranberry, crue",0.0,36.0,0.0,,,,,,,,,,1.0,0.0
"Pomme Granny Smith, pulpe, crue",,,,,,,,,,,,,,
"Pomme Granny Smith, pulpe et peau, crue",,,,,,,,,,,,,,
"Citron, zeste, cru",0.0,7.0,0.0,,0.0,,129.0,,,,,,13.0,0.0
"Sureau, baie, crue",0.0,,0.0,1.0,,,,,,,,,9.0,0.0
"Myrtille, surgelée, crue",0.0,29.0,0.0,,,,,,,,,,7.0,0.0
"Salade de fruits, crue",0.0,35.0,0.0,,,,20.0,,,,,,,0.0
"Framboise, surgelée, crue",0.0,,0.0,,,,,,,,,,44.0,0.0
"Nectarine ou brugnon, jaune, pulpe et peau, crue",,144.0,,,,,,,,,,,,
"Nectarine ou brugnon, blanche, pulpe et peau, crue",,,,,,,,,,,,,,
"Mûre (de ronce), surgelée, crue",0.0,68.0,0.0,,,,,,,,,,34.0,0.0
"Pomelo (dit Pamplemousse) jaune, pulpe, cru",0.0,14.0,0.0,,0.0,,,,,,,,10.0,0.0
"Pomelo (dit Pamplemousse) rose, pulpe, cru",0.0,686.0,0.0,,0.0,,,,,,,,13.0,0.0
"Poire Conférence, pulpe, crue",,,,,,,,,,,,,,
"Poire Williams, pulpe, crue",,,,,,,,,,,,,,
"Pomme Chantecler, pulpe, crue",,,,,,,,,,,,,,
"Pomme Gala, pulpe, crue",,,,,,,,,,,,,,
"Pomme Pink lady, pulpe, crue",,,,,,,,,,,,,,
"Pêche blanche, pulpe et peau, crue",,,,,,,,,,,,,,
"Pêche blanche, pulpe, crue",,,,,,,,,,,,,,
"Pêche jaune, pulpe, crue",,130.0,,,,,,,,,,,12.0,
"Dourian, pulpe, cru",0.0,23.0,,,,,,,,,,,36.0,0.0
"Kumquat, sans pépin, cru",0.0,0.0,0.0,,0.0,,45.0,,,,,,17.0,0.0
"Longan, pulpe, cru",,,,,,,84.0,,,,,,50.0,0.0
"Pamplemousse chinois, pulpe, cru",0.0,0.0,,,,,61.0,,,,,,,0.0
"Pomme Golden, pulpe et peau, crue",,56.0,,,,,,,,,,,,
"Raisin noir Muscat, cru",,,,,,,,,,,,,11.0,
"Melon miel ou melon honeydew, pulpe, cru",0.0,30.0,0.0,,,,,,,,,,17.0,0.0
"Fruits rouges, crus (framboises, fraises, groseilles, cassis)",0.0,,0.0,,,,87.0,,,,,,,0.0
Fruit cru (aliment moyen),0.0,314.0,,,,,,,,,,,22.0,0.0
Compote de pomme,0.0,3.0,0.0,,,,,,,,,,1.0,0.0
"Rhubarbe, tige, cuite, sucrée",0.0,44.0,0.0,,,,,,,,,,5.0,0.0
"Compote, tout type de fruits",0.0,,,,,,42.0,,,,,,,0.0
"Compote, tout type de fruits, allégée en sucres",0.0,,,,,,,,,,,,,0.0
"Chayote ou christophine ou chouchou, crue",0.0,0.0,0.0,,,,,,,,,,93.0,0.0
"Compote, tout type de fruits, allégée en sucres, rayon frais",,,,,,,,,,,,,,
"Compote de pomme, allégée en sucres",,,,,,,,,,,,,,
"Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée)",,,,,,,,,,,,,,
"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""",,31.0,,,,,,,,,,,,
"Spécialité de fruits divers, sucrée (mélange pulpes et/ou purées de fruits, mais toujours avec autre ingrédient)",,,,,,,,,,3.0,,,,
"Pomme, pulpe, rôtie/cuite au four",,,,,,,,,,,,,,
"Pomme, pulpe, bouillie/cuite à l'eau",0.0,19.0,0.0,,,,,,,,,,1.0,0.0
"Compote ou assimilé, tout type de fruits, teneur en sucre (allégée en sucres ou non, sans sucres ajoutés...) inconnue (aliment moyen)",,,,,,,,,,,,,,0.0
"Purée de pommes, type ""compote sans sucres ajoutés""",,,,,,,,,,,,,,
"Coulis de fruits rouges (framboises, fraises, groseilles, cassis)",0.0,44.0,0.0,,,,,,,,,,,0.0
"Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen)",,,,,,,,,,,,,,
"Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen)",,142.0,,,,,,,,,,,,
"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté",,167.0,,,,,,,,,,,,
"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté",,100.0,,,,,,,,,,,11.0,
"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté",,103.0,,,,,,,,,,,,
"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté",0.0,,0.0,,,,,,,,,,,0.0
"Abricot au sirop léger, appertisé, égoutté",,925.0,,,,,,,,,,,,
"Abricot au sirop léger, appertisé, non égoutté",0.0,551.0,0.0,,,,,,,,,,,0.0
"Abricot au sirop, appertisé, égoutté",,,,,,,,,,,,,,
"Abricot au sirop, appertisé, non égoutté",,114.0,,,,,,,,,,,,
"Ananas au jus d'ananas, égoutté, appertisé",,,,,,,,,,,,,,
"Ananas au jus d'ananas, appertisé, non égoutté",,,,,,,,,,,,,,
"Ananas au sirop léger, appertisé, égoutté",,,,,,,,,,,,,,
"Ananas au sirop léger, appertisé, non égoutté",0.0,,0.0,,,,,,,,,,,0.0
"Pêche au sirop léger, appertisée, égouttée",,254.0,,,,,,,,,,,,
"Pêche au sirop léger, appertisée, non égouttée",0.0,155.0,0.0,,,,,,,,,,,0.0
"Poire au sirop léger, appertisée, égouttée",,,,,,,,,,,,,,
"Poire au sirop léger, appertisée, non égouttée",0.0,0.0,0.0,,,,,,,,,,1.0,0.0
"Abricot, dénoyauté, sec",0.0,2160.0,,,,,,,,,,,,0.0
"Datte, pulpe et peau, sèche",0.0,89.0,0.0,,,,3.0,,,,,,18.0,0.0
"Figue, sèche",0.0,6.0,0.0,,,,,,,,,,9.0,0.0
"Pruneau, sec",0.0,,,,,,,,,,,,,0.0
"Raisin, sec",0.0,,,,,,,,,,,,82.0,
"Mélange apéritif de fruits exotiques, sec",0.0,,,,,,,,,,,,,0.0
"Banane, pulpe, sèche",0.0,101.0,0.0,,2.0,,7.0,,,,,,14.0,0.0
"Pomme, sèche",0.0,0.0,0.0,,3.0,,,,,,,,0.0,0.0
"Pêche, sèche",0.0,,0.0,,,,,,,,,,14.0,0.0
"Canneberge ou cranberry, séchée, sucrée",0.0,,,,,,,,,,,,,0.0
"Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%)",,,,,,,,,,,,,,
"Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique",,,,,,,0.0,,,,,,,
"Abricot pays, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,,
"Ananas, pulpe, cru , prélevé à la Martinique",,,,,,,,,,,,,,
"Caïmite, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,,
"Cerise acérola, pulpe, crue, prélevée à la Martinique",,,,,,,2850.0,,,,,,,
"Chadèque, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,,
"Chips d'abricot pays, pulpe, prélevé à la Martinique",,297.0,,,,,,,,,,,,
"Goyave, pulpe, purée, prélevée à la Martinique",,,,,,,492.0,,,,,,,
"Jus de carambole, prélevé à la Martinique, jus filtré",,,,,,,7.0,,,,,,,
"Jus de carambole, prélevée à la Martinique, jus non filtré",,,,,,,,,,,,,,
"Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique",,,,,,,,,,,,,,
"Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique",,,,,,,,,,,,,,
"Jus de corossol, prélevé à la Martinique",,,,,,,,,,,,,,
"Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus",,,,,,,,,,,,,,
"Jus de grenade, prélevée à la Martinique",,,,,,,,,,,,,,
"Jus de lime, pur jus, prélevé à la Martinique",,,,,,,,,,,,,,
"Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique",,,,,,,,,,,,,,
"Jus de mandarine commune, pur jus filtré, prélevée à la Martinique",,,,,,,,,,,,,,
"Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique",,90.0,,,,,6.0,,,,,,,
"Jus de moubin, pur jus, prélevé à la Martinique",,,,,,,,,,,,,,
"Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique",,,,,,,,,,,,,,
"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique",,,,,,,,,,,,,,
"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique",,,,,,,,,,,,,,
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique",,,,,,,,,,,,,,
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique",,,,,,,,,,,,,,
"Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique",,,,,,,,,,,,,,
"Mango bassignac, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,,
"Mango moussache, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,,
"Mangue julie, pulpe, crue, prélevée à la Martinique",,,,,,,22.0,,,,,,,
"Mangue verte, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,,
"Melon, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,,
"Orange (variété locale), pulpe, prélevée à la Martinique",,,,,,,,,,,,,,
"Orange amère, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,,
"Pastèque, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,,
"Pomme cajou, pulpe, crue, prélevée à la Martinique",,,,,,,556.0,,,,,,,
"Pomme cannelle,  pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,,
"Pomme d'eau ou pomme malaca, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,,
"Pomme liane, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,,
"Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique",,,,,,,20.0,,,,,,,
"Prune de cythère, verte ou immature, fruit entier, crue, prélevée à la Martinique",,,,,,,,,,,,,,
"Jacques, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,,
"Mangue José, pulpe, crue, prélevée à La Réunion (Mangifera indica L.)",,2010.0,,,,,,,,,,,,
"Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen)",,,,,,,,,,,,,,
"Papaye Colombo (fruit mûr), pulpe sans pépin, crue, prélevée à La Réunion (Carica papaya L.)",,1230.0,,,,,68.0,,,,,,,
Farine de châtaigne,,,,,,,16.0,,,,,,215.0,
Amande (avec peau),0.0,,,,,,,,,,,,120.0,0.0
Cacahuète ou Arachide,0.0,,0.0,,,,,,,,,,,0.0
"Cacahuète, grillée, salée",0.0,0.0,0.0,,0.0,,,,,,,,,0.0
Noisette,0.0,,,,,,,,,,,,,0.0
"Noix, séchée, cerneaux",0.0,,,,,,,,,,,,120.0,
"Noix de coco, amande mûre, fraîche",0.0,0.0,0.0,,,,,,,,,,26.0,
"Noix de coco, amande, sèche",0.0,0.0,0.0,,,,,,,,,,,0.0
Noix du Brésil,0.0,0.0,0.0,,0.0,,,,,,,,13.0,0.0
"Pistache, grillée, salée",0.0,156.0,0.0,,,,,,,,,,,0.0
"Sésame, graine",0.0,5.0,0.0,,0.0,,0.0,,,,,,97.0,0.0
"Tournesol, graine",0.0,30.0,0.0,,0.0,,,,,,,,254.0,0.0
Crème de marrons,,,,,,,,,,,,,,
"Noix de coco, amande immature, fraîche",0.0,0.0,0.0,,,,,,,,,,26.0,0.0
"Crème de marrons vanillée, appertisée",,0.0,,,,,,,,,,,30.0,
Mélange apéritif de graines salées et raisins secs,,,,,,,,,,,,,,
"Noix de cajou, grillée, salée",0.0,0.0,0.0,,,,,,,,,,,0.0
"Châtaigne, bouillie/cuite à l'eau",0.0,10.0,0.0,1.0,,,,,,,,,38.0,0.0
"Châtaigne, grillée",0.0,14.0,0.0,,,,26.0,,,,,,70.0,0.0
"Noix, fraîche",0.0,52.0,,,,,,,,,,,108.0,0.0
"Châtaigne, crue",0.0,0.0,0.0,,,,,,,,,,60.0,0.0
Pignon de pin,0.0,17.0,0.0,,,,,,,,,,,0.0
Noix de pécan,0.0,29.0,0.0,,,,,,,,,,,0.0
Noix de macadamia,0.0,,0.0,,,,,,,,,,11.0,0.0
"Cucurbitacées, graine",0.0,9.0,0.0,,,,,,,,,,58.0,0.0
"Luzerne, graine germée",0.0,87.0,0.0,,,,,,,,,,36.0,0.0
"Luzerne, graine",,,,,,,26.0,,,,,,,
Noisette grillée,0.0,36.0,0.0,,,,,,,,,,88.0,0.0
"Lin, graine",0.0,0.0,0.0,,,,,,,,,,,0.0
"Sésame, graine décortiquée",0.0,40.0,0.0,,0.0,,0.0,,,,,,106.0,0.0
"Cacahuète, grillée à sec, salée",,,,,,,,,,,,,,
"Sésame, grillé, graine décortiquée",0.0,40.0,0.0,,0.0,,0.0,,,,,,96.0,0.0
"Châtaigne ou Marron, appertisé",,,,,,,,,,,,,58.0,
"Amande, mondée, émondée ou blanchie",0.0,4.0,0.0,,0.0,,0.0,,,,,,49.0,0.0
"Amande, grillée, salée",0.0,1.0,0.0,,0.0,,0.0,,,,,,55.0,0.0
"Noix de macadamia, grillée, salée",0.0,0.0,0.0,,0.0,,,,,,,,10.0,0.0
"Pistache, grillée",0.0,156.0,0.0,,,,,,,,,,,0.0
"Tournesol, graine, grillé, salé",0.0,5.0,0.0,,,,,,,,,,237.0,0.0
"Noix de pécan, salées",,,,,,,,,,,,,,
"Chia, graine, séchée",,,,,,,,,,,,,49.0,0.0
Mélange apéritif de graines (non salées) et fruits séchés,,,,,,,,,,,,,,
Mélange apéritif de graines (non salées) et raisins secs,0.0,,,,,,,,,,,,,0.0
"Noisette grillée, salée",,,,,,,,,,,,,,
"Lin, brun, graine",,,,,,,,,,,,,,
"Cacahuète, grillée, sans sel ajouté",0.0,0.0,0.0,,0.0,,0.0,,,,,,97.0,0.0
"Noix de cajou, grillée, non salée",,,,,,,,,,,,,,
"Noix de cajou, grillée à sec, non salée",,,,,,,,,,,,,,
"Pâte d'amande, préemballée",0.0,,,,,,,,,,,,,
Beurre de cacahuète ou Pâte d'arachide,0.0,0.0,0.0,,,,0.0,,,,,,70.0,0.0
Tahin ou Purée de sésame,0.0,40.0,0.0,,0.0,,,,,,,,98.0,0.0
"Arachide, bouillie/cuite à l'eau, salée",0.0,0.0,0.0,,0.0,,0.0,,,,,,75.0,0.0
"Soja, graine entière",0.0,13.0,0.0,,47.0,,6.0,,,,,,328.0,0.0
"Blé dur précuit, grains entiers, cuit, non salé",0.0,,0.0,,,,,,,,,,,0.0
"Nouilles asiatiques cuites, aromatisées",,,,,,,,,,,,,,
"Pâtes ou nouilles asiatiques au blé, cuites, nature, non salées",,,,,,,,,,,,,,
"Riz complet, cuit, non salé",0.0,,0.0,,,,,,,,,,,
"Riz blanc, cuit, non salé",0.0,,0.0,,,,,,,,,,,
"Riz blanc étuvé, cuit, non salé",0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0
"Riz rouge, cuit, non salé",,,,,,,,,,,,,9.0,
"Riz sauvage, cuit, non salé",0.0,2.0,0.0,,,,0.0,,,,,,26.0,0.0
"Riz thaï, cuit, non salé",,,,,,,,,,,,,,
"Riz basmati, cuit, non salé",,,,,,,,,,,,,,
"Flocons d'avoine, bouillis/cuits à l'eau",0.0,0.0,0.0,,,,0.0,,,,,,6.0,0.0
"Orge perlée, bouilli/cuite à l'eau, non salée",0.0,5.0,0.0,,,,0.0,,,,,,16.0,0.0
"Mil, cuit, non salé",0.0,2.0,0.0,,,,0.0,,,,,,19.0,0.0
"Quinoa, bouilli/cuit à l'eau, non salé",0.0,,0.0,,,,0.0,,,,,,,0.0
"Polenta ou semoule de maïs, cuite, non salée",,,,,,,,,,,,,,
"Graine de couscous (semoule de blé dur précuite), cuite, non salée",0.0,,0.0,,,,,,,,,,,0.0
"Boulgour de blé, cuit, non salé",0.0,,0.0,,,,,,,,,,,0.0
"Pâtes sèches standard, cuites, non salées",0.0,,0.0,,,,,,,,,,,
"Pâtes fraîches, aux oeufs, cuites, non salées",,,,,,,,,,,,,,
"Pâtes sèches, aux oeufs, cuites, non salées",,,,,,,,,,,,,,
"Pâtes sèches, sans gluten, cuites, non salées",,,,,,,,,,,,,,
"Pâtes sèches, au blé complet, cuites, non salées",0.0,,0.0,,,,,,,,,,,
"Pâtes, sans gluten, à base de riz et maïs, cuites à l'eau, non salées",,,,,,,,,,,,,,
"Pâtes, sans gluten, à base de lentilles corail, cuites à l'eau, non salées",,,,,,,,,,,,,,
"Vermicelle de riz, cuite, non salée",0.0,0.0,,,,,,,,,,,,0.0
"Vermicelle de soja, cuite, non salée",,,,,,,,,,,,,10.0,
"Gnocchi à la semoule, cuit",,,,,,,,,,,,,,
"Gnocchi à la pomme de terre, cuit",,,,,,,,,,,,,,
"Gnocchi, cuit (aliment moyen)",,,,,,,,,,,,,,
"Frik (blé dur immature concassé), cuit, non salé",,,,,,,,,,,,,18.0,
"Épeautre, cru",0.0,5.0,,,,,0.0,,,,,,45.0,0.0
"Blé de Khorasan, cru",,5.0,,,,,0.0,,,,,,,
"Blé tendre entier ou froment, cru",,,,,,,,,,,,,,
"Blé germé, cru",0.0,,0.0,,,,,,,,,,38.0,0.0
"Blé dur entier, cru",0.0,0.0,0.0,,30.0,,0.0,,,,,,32.0,0.0
"Blé dur précuit, entier, cru",0.0,0.0,0.0,,,,0.0,,0.0,,,,331.0,0.0
"Riz blanc, cru",0.0,0.0,0.0,,,,0.0,,,,,,,0.0
"Riz blanc étuvé, cru",0.0,,0.0,,,,0.0,,,,,,13.0,0.0
"Riz complet, cru",0.0,,0.0,,,,0.0,,,,,,48.0,0.0
"Riz sauvage, cru",0.0,,0.0,,,,0.0,,,,,,49.0,0.0
"Riz rouge, cru",,,,,,,,,,,,,15.0,
"Riz thaï ou basmati, cru",,,,,,,,,,,,,,
"Riz thaï ou basmati, cuit, non salé",,,,,,,,,,,,,,
"Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru",,,,,,,,,,,,,,
"Maïs entier, cru",,,,,,,,,,,,,,0.0
"Avoine, crue",0.0,,0.0,,,,0.0,,,,,,56.0,0.0
"Orge entière, crue",0.0,13.0,0.0,,,,0.0,,,,,,19.0,0.0
"Orge perlée, crue",0.0,13.0,0.0,,,,0.0,,,,,,23.0,0.0
"Mil entier, cru",0.0,,0.0,,,,0.0,,,,,,,0.0
"Quinoa, cru",0.0,8.0,0.0,,0.0,,,,,,,,184.0,0.0
"Amarante, crue",0.0,1.0,0.0,,0.0,,,,,,,,82.0,0.0
"Sorgho entier, cru",0.0,,0.0,,,,0.0,,,,,,20.0,0.0
"Sarrasin entier, cru",0.0,,0.0,,,,0.0,,,,,,30.0,0.0
"Seigle entier, cru",0.0,7.0,0.0,1.0,,,0.0,,,,,,47.0,0.0
"Semoule de blé dur, crue",0.0,,0.0,,30.0,,0.0,,,,,,57.0,0.0
"Semoule de blé dur, cuite, non salée",,,,,,,,,,,,,,
"Mélange de céréales et légumineuses, cru",,,,,,,,,,,,,,
"Polenta ou semoule de maïs, précuite, sèche",,,,,,,,,,,,,35.0,
"Graine de couscous (semoule de blé dur précuite), crue",0.0,,0.0,,,,0.0,,,,,,20.0,0.0
"Boulgour de blé, cru",0.0,5.0,0.0,,16.0,,0.0,,,,,,24.0,0.0
"Pâtes sèches standard, crues",0.0,,0.0,,,,0.0,,,,,,,0.0
"Pâtes fraîches, aux oeufs, crues",,,,,,,,,,,,,,
"Pâtes sèches, aux oeufs, crues",17.0,2.0,,,,,0.0,,,,,,29.0,
"Pâtes ou nouilles asiatiques au blé et aux oeufs, crues, nature",,,,,,,,,,,,,,
"Pâtes sèches, au blé complet, crues",0.0,,0.0,,0.0,,0.0,,,,,,,0.0
"Pâtes sèches, sans gluten, crues",,,,,,,,,,,,,,
"Vermicelle de riz, sèche",,,,,,,,,,,,,10.0,
"Vermicelle de soja, sèche",,,,,,,,,,,,,7.0,
"Gnocchi à la pomme de terre, cru",,,,,,,,,,,,,,
"Gnocchi à la semoule, cru",,,,,,,,,,,,,,
"Frik (blé dur immature concassé), cru",,,,,,,,,,,,,,
Pain (aliment moyen),,,,,,,,,,,,,23.0,
"Pain, baguette, courante",0.0,,,,,,,,,,,,,
"Pain, baguette ou boule, au levain",,,,,1.0,,,,,,,,,
"Pain, baguette, de tradition française",,,,,,,,,,,,,,
"Pain, baguette ou boule, bis (à la farine T80 ou T110) ",,,,,,,,,,,,,,
"Pain courant, 400g ou boule",0.0,,0.0,,0.0,,0.0,,,1.0,,,,0.0
"Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110)",,,,,,,,,,,,,,
"Pain, baguette ou boule, de campagne",,,,,,,,,,,,,,
Pain complet ou intégral (à la farine T150),0.0,,,,,,,,,,,,,0.0
"Pain de mie, complet",,,,,,,,,,,,,25.0,
"Pain de mie, au son",,,,,,,,,,,,,,
"Pain de mie, multicéréale",,,,3.0,,,,,,,,,52.0,
Pain au son,,,,,,,,,,,,,,
"Pain de seigle, et froment",0.0,,,,,,,,,,,,,0.0
"Pain, sans gluten",,,,,,,,,,,,,,
"Pain, baguette, sans sel",,0.0,,,,,,,,,,,23.0,
Pain panini,9.0,6.0,,,,,,,,,,,39.0,
Pain pita,,,,,,,,,,,,,21.0,
"Pain de mie, courant",0.0,,0.0,,,,,,,,,,,
"Pain de mie, sans croûte, préemballé",,,,,,,,,,,,,,
"Pain de mie brioché, préemballé",,,,,,,,,,,,,,
"Pain, baguette ou boule, aux céréales et graines, artisanal",,,,,,,,,,,,,,
"Muffin anglais, complet, petit pain spécial, préemballé",,,,,,,,,,,,,,
"Muffin anglais, petit pain spécial, préemballé",,,,,,,,,,,,,,
